t_s,stage,x0,x1,x2,x3,x4,x5,x6,u0,u1,u2
253.061,0,-1.383177e+06,4.817065e+06,4.328822e+06,-5.277979e+03,4.800765e+01,8.603931e+02,1.878300e+03,0.000000e+00,0.000000e+00,0.000000e+00
266.380,0,-1.453303e+06,4.817119e+06,4.339755e+06,-5.252184e+03,-3.960459e+01,7.815621e+02,1.878300e+03,0.000000e+00,0.000000e+00,0.000000e+00
279.699,0,-1.523080e+06,4.816013e+06,4.349643e+06,-5.225383e+03,-1.263529e+02,7.033124e+02,1.878300e+03,0.000000e+00,0.000000e+00,0.000000e+00
293.018,0,-1.592524e+06,4.813749e+06,4.358491e+06,-5.209986e+03,-2.155360e+02,6.247540e+02,1.553441e+03,0.000000e+00,0.000000e+00,0.000000e+00
306.337,0,-1.661945e+06,4.810251e+06,4.366281e+06,-5.214315e+03,-3.095570e+02,5.451260e+02,1.536030e+03,0.000000e+00,0.000000e+00,0.000000e+00
319.656,0,-1.731420e+06,4.805505e+06,4.373013e+06,-5.217961e+03,-4.031384e+02,4.657675e+02,1.518620e+03,0.000000e+00,0.000000e+00,0.000000e+00
332.975,0,-1.800938e+06,4.799515e+06,4.378690e+06,-5.220933e+03,-4.963085e+02,3.866554e+02,1.501210e+03,0.000000e+00,0.000000e+00,0.000000e+00
346.294,0,-1.870492e+06,4.792286e+06,4.383313e+06,-5.223235e+03,-5.890942e+02,3.077678e+02,1.483799e+03,0.000000e+00,0.000000e+00,0.000000e+00
359.613,0,-1.940072e+06,4.783824e+06,4.386888e+06,-5.224875e+03,-6.815226e+02,2.290825e+02,1.466389e+03,0.000000e+00,0.000000e+00,0.000000e+00
372.932,0,-2.009669e+06,4.774133e+06,4.389417e+06,-5.225859e+03,-7.736198e+02,1.505782e+02,1.448978e+03,0.000000e+00,0.000000e+00,0.000000e+00
386.251,0,-2.079275e+06,4.763217e+06,4.390900e+06,-5.226189e+03,-8.654106e+02,7.223425e+01,1.431568e+03,0.000000e+00,0.000000e+00,0.000000e+00
399.570,0,-2.148881e+06,4.751081e+06,4.391341e+06,-5.225872e+03,-9.569199e+02,-5.970021e+00,1.414157e+03,0.000000e+00,0.000000e+00,0.000000e+00
412.889,0,-2.218479e+06,4.737729e+06,4.390742e+06,-5.224909e+03,-1.048172e+03,-8.405470e+01,1.396747e+03,0.000000e+00,0.000000e+00,0.000000e+00
